               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1205,            0.040858,            0.059998,           0.0023877,             0.14052,           0.0019894,          0.00048681,             0.11128,            0.035001,            0.054618,              0.0757,              0.0027,              0.0027
                   1,             0.10297,            0.050086,            0.050027,            0.012849,            0.071639,           0.0089087,           0.0021336,            0.099124,            0.036714,            0.047403,            0.050482,           0.0054818,           0.0054818
                   2,            0.088048,            0.046643,            0.045978,            0.044678,             0.20843,            0.037095,            0.010058,             0.09266,            0.055447,             0.04492,            0.025245,           0.0082452,           0.0082452
                   3,            0.081866,            0.046364,            0.042332,            0.070978,             0.22065,            0.067716,            0.021584,            0.086518,            0.043134,            0.041157,            0.009901,            0.009901,            0.009901
                   4,            0.077898,            0.047531,             0.03899,             0.33376,             0.28891,             0.12096,            0.041103,            0.076959,            0.037811,             0.03553,            0.009901,            0.009901,            0.009901
                   5,            0.071691,            0.044617,             0.03759,             0.32626,             0.28564,              0.1814,            0.063028,            0.070694,            0.036105,             0.03082,            0.009868,            0.009868,            0.009868
                   6,            0.070068,            0.047254,            0.032779,             0.26516,             0.35324,             0.20318,            0.071678,            0.073716,            0.034557,            0.029372,            0.009835,            0.009835,            0.009835
                   7,            0.067826,            0.044374,            0.031806,             0.29382,             0.37083,             0.24618,             0.09264,            0.065993,            0.033487,            0.026289,            0.009802,            0.009802,            0.009802
                   8,            0.064734,            0.046316,            0.029289,             0.30496,             0.39061,             0.27332,             0.10618,            0.065798,            0.033013,            0.024946,            0.009769,            0.009769,            0.009769
                   9,            0.063179,            0.044243,            0.027226,             0.33946,             0.40565,             0.29946,             0.10841,            0.063844,            0.034362,            0.023632,            0.009736,            0.009736,            0.009736
                  10,            0.060939,            0.043817,            0.025222,             0.47148,             0.40795,             0.34096,             0.13957,            0.061807,             0.03229,            0.022052,            0.009703,            0.009703,            0.009703
                  11,            0.061035,            0.044279,            0.024842,             0.42744,             0.40736,             0.38625,             0.16894,            0.057788,             0.03304,            0.020962,             0.00967,             0.00967,             0.00967
                  12,            0.059575,            0.042717,            0.023873,             0.39709,             0.47307,             0.39125,             0.15921,            0.059461,            0.032425,            0.019409,            0.009637,            0.009637,            0.009637
                  13,            0.057176,            0.042263,            0.021762,             0.54577,             0.45484,              0.4624,             0.18473,            0.058224,            0.031771,            0.018985,            0.009604,            0.009604,            0.009604
                  14,            0.057839,            0.043985,            0.020973,             0.51789,             0.51657,             0.49726,             0.19883,            0.058416,            0.031806,            0.017385,            0.009571,            0.009571,            0.009571
                  15,            0.057463,            0.043157,            0.017506,             0.44261,              0.5138,             0.44532,             0.18616,            0.057305,            0.032703,            0.017858,            0.009538,            0.009538,            0.009538
                  16,            0.055351,            0.039626,            0.018511,             0.54902,             0.46891,             0.49731,             0.21433,             0.05784,            0.031292,            0.015903,            0.009505,            0.009505,            0.009505
                  17,            0.055269,            0.042707,             0.01672,             0.62957,             0.51787,             0.53928,             0.22119,            0.057475,            0.032386,            0.014432,            0.009472,            0.009472,            0.009472
                  18,            0.057206,            0.044949,            0.014899,             0.65252,             0.53784,             0.56368,              0.2302,            0.057355,            0.033103,            0.013821,            0.009439,            0.009439,            0.009439
                  19,            0.055281,            0.041785,            0.014686,              0.6103,             0.52417,             0.54035,             0.22829,            0.057793,            0.031655,            0.012291,            0.009406,            0.009406,            0.009406
                  20,            0.055008,             0.04277,            0.013577,             0.68864,             0.54436,             0.59319,             0.26166,            0.056571,             0.03094,            0.012143,            0.009373,            0.009373,            0.009373
                  21,            0.054357,            0.040932,             0.01312,             0.65336,             0.51889,             0.54031,             0.24221,            0.055333,            0.031154,            0.012086,             0.00934,             0.00934,             0.00934
                  22,            0.054054,            0.040512,             0.01298,             0.58385,             0.56369,             0.55609,             0.23276,            0.057382,            0.031705,            0.011513,            0.009307,            0.009307,            0.009307
                  23,             0.05522,             0.04288,            0.010759,             0.76789,             0.49818,              0.5823,             0.26789,            0.055405,            0.031273,            0.011243,            0.009274,            0.009274,            0.009274
                  24,            0.053781,            0.041414,            0.010959,             0.73516,              0.5493,             0.62449,             0.26346,             0.05586,            0.031599,            0.010874,            0.009241,            0.009241,            0.009241
                  25,            0.053362,            0.040614,            0.010487,             0.66525,             0.61002,             0.62843,             0.27368,            0.053537,            0.031498,            0.011541,            0.009208,            0.009208,            0.009208
                  26,            0.053189,            0.039874,           0.0096368,             0.70631,             0.56127,             0.60095,             0.28249,            0.056402,            0.031529,            0.010567,            0.009175,            0.009175,            0.009175
                  27,            0.052899,            0.040047,            0.010538,             0.76142,              0.5659,             0.62133,             0.26866,             0.05417,            0.032561,            0.011979,            0.009142,            0.009142,            0.009142
                  28,            0.052665,            0.041733,           0.0089388,             0.73306,             0.58637,             0.64207,             0.30215,            0.054425,            0.031579,            0.011589,            0.009109,            0.009109,            0.009109
                  29,            0.051217,            0.040657,           0.0088801,             0.67447,             0.57614,              0.6151,             0.25417,             0.05477,            0.032134,            0.011656,            0.009076,            0.009076,            0.009076
                  30,            0.052839,            0.041067,           0.0085059,             0.71496,             0.56975,              0.6246,             0.28637,            0.054453,            0.032257,            0.010216,            0.009043,            0.009043,            0.009043
                  31,            0.050389,            0.037193,            0.008649,              0.7293,             0.58148,             0.64153,             0.29205,            0.052792,            0.031575,            0.010524,             0.00901,             0.00901,             0.00901
                  32,            0.050962,            0.041349,           0.0074757,             0.69701,             0.54389,             0.60645,             0.28154,            0.053075,            0.032009,            0.010577,            0.008977,            0.008977,            0.008977
                  33,            0.051716,            0.039724,           0.0078613,             0.66825,             0.59212,             0.62164,             0.27182,            0.054899,            0.032079,            0.010106,            0.008944,            0.008944,            0.008944
                  34,            0.051104,            0.039587,           0.0072624,             0.67036,             0.61467,             0.64695,             0.29143,            0.052989,            0.031424,           0.0098477,            0.008911,            0.008911,            0.008911
                  35,            0.051227,            0.038421,           0.0072543,             0.73777,             0.59218,             0.65219,             0.31022,            0.052523,            0.030975,           0.0093206,            0.008878,            0.008878,            0.008878
                  36,            0.049937,            0.038061,           0.0070953,              0.7476,              0.5558,             0.62936,             0.30148,             0.05271,            0.031344,           0.0093937,            0.008845,            0.008845,            0.008845
                  37,            0.050085,            0.038632,           0.0069071,             0.72407,             0.57459,             0.63483,             0.29401,            0.053262,            0.031324,           0.0087792,            0.008812,            0.008812,            0.008812
                  38,            0.050531,             0.03993,           0.0067756,             0.70939,             0.60863,             0.66069,             0.31151,            0.051666,            0.031312,           0.0084014,            0.008779,            0.008779,            0.008779
                  39,            0.049851,            0.040181,           0.0068933,             0.72821,             0.62242,             0.67527,             0.31357,            0.052413,            0.031551,           0.0087507,            0.008746,            0.008746,            0.008746
                  40,            0.047384,            0.038367,           0.0067045,             0.74078,             0.59911,             0.67028,              0.3184,            0.052325,            0.031765,           0.0086444,            0.008713,            0.008713,            0.008713
                  41,            0.048478,            0.038158,           0.0066975,               0.787,             0.58359,             0.68032,             0.32134,            0.052487,            0.031451,           0.0080154,             0.00868,             0.00868,             0.00868
                  42,            0.048537,            0.038302,            0.006767,             0.81656,              0.5703,             0.67674,             0.32797,             0.05148,            0.031951,           0.0092001,            0.008647,            0.008647,            0.008647
                  43,            0.049058,            0.038947,           0.0065163,             0.71934,             0.59343,             0.66426,             0.31558,            0.053046,            0.031757,           0.0082592,            0.008614,            0.008614,            0.008614
                  44,            0.048833,            0.038108,           0.0059371,             0.75692,             0.59835,             0.66417,             0.32283,            0.051785,            0.031301,           0.0080519,            0.008581,            0.008581,            0.008581
                  45,            0.048021,            0.037066,            0.005962,             0.76916,             0.61628,             0.65689,             0.30888,            0.053292,            0.031433,           0.0091948,            0.008548,            0.008548,            0.008548
                  46,            0.048748,            0.040238,           0.0057307,             0.72885,             0.61556,             0.66609,             0.30074,            0.052116,            0.031321,           0.0093981,            0.008515,            0.008515,            0.008515
                  47,             0.04938,            0.039778,           0.0055782,             0.67756,             0.62153,             0.64998,             0.30353,             0.05175,            0.030764,             0.00981,            0.008482,            0.008482,            0.008482
                  48,            0.048014,            0.038034,           0.0054625,             0.72388,             0.57128,             0.63707,             0.29601,            0.051969,             0.03168,           0.0092122,            0.008449,            0.008449,            0.008449
                  49,            0.047026,            0.036469,           0.0059578,             0.72282,             0.60784,              0.6711,             0.31989,            0.052026,             0.03155,           0.0090463,            0.008416,            0.008416,            0.008416
                  50,            0.047311,            0.038479,            0.005504,             0.73214,             0.58975,             0.63919,              0.2883,            0.052085,            0.031916,           0.0099865,            0.008383,            0.008383,            0.008383
                  51,            0.047039,             0.03751,           0.0052451,             0.73956,             0.57578,             0.65631,             0.31223,            0.053105,             0.03126,           0.0091925,             0.00835,             0.00835,             0.00835
                  52,            0.047596,            0.036829,           0.0055993,             0.79034,             0.59002,             0.68103,             0.32914,            0.051681,            0.031651,           0.0081811,            0.008317,            0.008317,            0.008317
